Date,Open,High,Low,Close,Volume,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
2017-10-09,147.86,148.0093,147.3,147.49,13704835.0,144.35240000000002,142.5574,-0.0011519567596084803,0.0786690313131445,0.023700000000000002
2017-10-10,147.98,148.14,146.95,147.6,19223092.0,144.4398,142.6608,0.0007455352949611398,0.07837340675150653,0.0235
2017-10-11,147.53,148.07,147.34,148.04,12439051.0,144.5294,142.7628,0.0029765953515831322,0.07882480828583095,0.0235
2017-10-12,147.84,148.355,147.615,147.77,14513477.0,144.6058,142.8505,-0.0018254966024125897,0.07567696775650835,0.0233
2017-10-13,148.4,148.51,147.7772,148.34,18409888.0,144.7048,142.9425,0.00384992539286945,0.07588874438284043,0.022799999999999997
2017-10-16,148.7,148.89,148.3928,148.85,21809410.0,144.8088,143.03320000000002,0.0034321511533732824,0.07469169005837048,0.023
2017-10-17,148.79,149.06,148.57,149.04,13138157.0,144.8984,143.1139,0.0012756388315475552,0.07466149512597398,0.023
2017-10-18,149.21,149.21,148.64,148.86,17218243.0,144.98940000000002,143.1903,-0.0012084593615682721,0.07355092189694684,0.023399999999999997
2017-10-19,148.02,148.33,147.27,148.31,27680285.0,145.07319999999999,143.26,-0.0037015891778935032,0.07078097538151006,0.0233
2017-10-20,148.91,149.04,148.53,148.71,30173268.0,145.2268,143.3342,0.0026934229467211338,0.07040606346548628,0.0239
2017-10-23,149.01,149.03,147.53,147.74,29297126.0,145.3396,143.3932,-0.006544128600000467,0.06218181297290227,0.023799999999999998
2017-10-24,148.0,148.3,147.44,147.99,20289467.0,145.42079999999999,143.4385,0.0016907318131649581,0.06209351749183574,0.0242
2017-10-25,147.7,148.18,146.33,147.43,36104741.0,145.4888,143.4785,-0.00379121705202819,0.05857927543241896,0.024399999999999998
2017-10-26,147.36,147.705,146.92,146.96,28230199.0,145.5424,143.5195,-0.003193045954858138,0.06030451185109625,0.0246
2017-10-27,149.33,151.52,149.2,151.24,60165127.0,145.7406,143.5977,0.028707538115861807,0.11435390063393792,0.0242
2017-10-30,151.08,152.19,150.9899,151.58,31733386.0,145.9476,143.6778,0.0022455593611508864,0.11428862243263782,0.023700000000000002
2017-10-31,152.04,152.37,151.63,152.15,25680894.0,146.1696,143.7995,0.003753337959097029,0.11445461210092789,0.023799999999999998
2017-11-01,152.75,152.83,151.5,152.1,29481569.0,146.3476,143.9282,-0.0003286770777330065,0.11471596478367746,0.023700000000000002
2017-11-02,151.92,151.99,150.77,151.81,31017426.0,146.53,144.0427,-0.0019084603206233623,0.11174955337660904,0.0235
2017-11-03,152.39,153.29,151.84,153.27,26199249.0,146.75,144.1779,0.009571333066192586,0.11539961831931556,0.023399999999999997
2017-11-06,153.13,153.85,153.1,153.79,28684758.0,146.9864,144.3245,0.003386963441015659,0.11494989448004458,0.0232
2017-11-07,153.67,154.0823,153.34,153.88,21333062.0,147.2158,144.4818,0.0005850424322622968,0.1149762255744078,0.0232
2017-11-08,153.81,154.54,153.62,154.5,16732173.0,147.4464,144.6222,0.004021018453705918,0.11514349150854435,0.0232
2017-11-09,153.26,153.77,152.11,153.69,40459520.0,147.6272,144.7655,-0.005256509718579557,0.11733224176041011,0.0233
2017-11-10,153.36,153.8,153.06,153.68,20150762.0,147.7768,144.8949,-6.506815891934049e-05,0.11732061337483889,0.024
2017-11-13,153.12,154.0693,153.1,153.87,12468169.0,147.9342,145.0266,0.0012355716089855967,0.11716642751608129,0.024
2017-11-14,153.31,153.5,152.57,153.31,25050308.0,148.1066,145.1473,-0.0036460747469239012,0.11867250217291735,0.023799999999999998
